sample,time,s,sDot,sDDot,sDDDot,arcLength,tcpSpeed,px,py,pz,qw,qx,qy,qz,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,positionError,orientationError,ikIterations
0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.000000000000,0.000000000000,-0.421962121751,-0.451955508345,0.234227540927,0.329165961002,0.587239908196,-0.108421313097,0.731466936509,0.523598775598,-0.785398163397,1.047197551197,0.349065850399,-0.523598775598,0.785398163397,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000e+00,0.000000000000e+00,1
1,0.050000000000,0.000041666667,0.002500000000,0.100000000000,2.000000000000,0.000020833333,0.001250000000,-0.421941288417,-0.451955508345,0.234227540927,0.329160452597,0.587236481144,-0.108418631414,0.731472564094,0.523598775598,-0.785398163397,1.047197551197,0.349065850399,-0.523598775598,0.785398163397,0.000706668476,-0.001378331306,0.002675224247,-0.000434346248,-0.000030680218,-0.000575379585,2.083333333336e-05,1.799423653112e-05,1
2,0.100000000000,0.000333333333,0.010000000000,0.200000000000,2.000000000000,0.000166666667,0.005000000000,-0.421795455084,-0.451955508345,0.234227540927,0.329121893016,0.587212490445,-0.108399859381,0.731511955534,0.523669442446,-0.785535996528,1.047465073621,0.349022415774,-0.523601843620,0.785340625439,0.004264565402,-0.008305883657,0.016121003761,-0.002610257820,-0.000183662372,-0.003473646106,8.332944937172e-05,7.197810298247e-05,2
3,0.150000000000,0.001125000000,0.022500000000,0.300000000000,2.000000000000,0.000562500000,0.011250000000,-0.421399621751,-0.451955508345,0.234227540927,0.329017224716,0.587147361094,-0.108348904554,0.731618860530,0.524025232138,-0.786228751763,1.048809651573,0.348804824617,-0.523617141835,0.785050798787,0.010177198999,-0.019765627930,0.038363350673,-0.006178352942,-0.000431360017,-0.008296156082,5.988135667816e-05,5.173747972992e-05,4
4,0.200000000000,0.002666666667,0.040000000000,0.400000000000,2.000000000000,0.001333333333,0.020000000000,-0.420628788417,-0.451955508345,0.234227540927,0.328813369384,0.587020481014,-0.108249667648,0.731826982584,0.524687162346,-0.787512559321,1.051301408689,0.348404580480,-0.523644979622,0.784511009831,0.017186080319,-0.033202464006,0.064443135662,-0.010273891590,-0.000706627157,-0.014029951044,5.189732937235e-05,4.485153477989e-05,5
5,0.250000000000,0.005208333333,0.062500000000,0.500000000000,2.000000000000,0.002604166667,0.031250000000,-0.419357955084,-0.451955508345,0.234227540927,0.328477204020,0.586811158315,-0.108086034672,0.732169925649,0.525743840170,-0.789548998164,1.055253965139,0.347777435458,-0.523687804551,0.783647803682,0.026793141815,-0.051320561016,0.099609653817,-0.015615809755,-0.001046449921,-0.021924691032,8.261480476420e-05,7.142221539290e-05,5
6,0.300000000000,0.008958333333,0.087500000000,0.500000000000,0.000000000000,0.004479166667,0.043750000000,-0.417482955084,-0.451955508345,0.234227540927,0.327981041687,0.586501998793,-0.107844549530,0.732675504464,0.527366476527,-0.792644615423,1.061262374070,0.346842999504,-0.523749624614,0.782318540728,0.037574258966,-0.071123511304,0.138049310590,-0.021131605249,-0.001361117994,-0.030848226610,6.111361261743e-05,5.285896201228e-05,6
7,0.350000000000,0.013958333333,0.112500000000,0.500000000000,0.000000000000,0.006979166667,0.056250000000,-0.414982955084,-0.451955508345,0.234227540927,0.327319157442,0.586089187930,-0.107522459373,0.733348862202,0.529501266067,-0.796661349294,1.069058896198,0.345664274933,-0.523823916351,0.780562981021,0.048255460859,-0.089907984988,0.174519871403,-0.025843027726,-0.001566684529,-0.039793070868,7.993206188543e-05,6.916184512039e-05,6
8,0.400000000000,0.020208333333,0.137500000000,0.500000000000,0.000000000000,0.010104166667,0.068750000000,-0.411857955084,-0.451955508345,0.234227540927,0.326491265683,0.585572213688,-0.107119670470,0.734189357174,0.532192022613,-0.801635413921,1.078714361211,0.344258696732,-0.523906293067,0.778339233641,0.059868578165,-0.109352723128,0.212288507300,-0.030087118491,-0.001663813170,-0.049646531479,9.999932642380e-05,8.655967951753e-05,6
9,0.450000000000,0.027666666667,0.160000000000,0.400000000000,-2.000000000000,0.013833333333,0.080000000000,-0.408128788417,-0.451955508345,0.234227540927,0.325502536766,0.584953895423,-0.106638753780,0.735190597723,0.535488123883,-0.807596621607,1.090287746928,0.342655563084,-0.523990297668,0.775598327874,0.070260428500,-0.125404966442,0.243498372544,-0.032680135200,-0.001574816503,-0.058647395485,5.972372582000e-05,5.171748057644e-05,7
10,0.500000000000,0.036125000000,0.177500000000,0.300000000000,-2.000000000000,0.018062500000,0.088750000000,-0.403899621751,-0.451955508345,0.234227540927,0.324380219355,0.584250838295,-0.106093022010,0.736323775199,0.539218065463,-0.814175910566,1.103064198465,0.340990683212,-0.524063774717,0.772474494092,0.078389322262,-0.136297999381,0.264729207532,-0.033228156570,-0.001285546865,-0.065925424217,6.688698629407e-05,5.793164436221e-05,7
11,0.550000000000,0.045333333333,0.190000000000,0.200000000000,-2.000000000000,0.022666666667,0.095000000000,-0.399295455084,-0.451955508345,0.234227540927,0.323157156000,0.583483225380,-0.105498497925,0.737554638763,0.543327056110,-0.821226421545,1.116760667681,0.339332747427,-0.524118852354,0.769005785452,0.084966272437,-0.143604552790,0.279040087931,-0.032340708911,-0.000849256671,-0.072044491857,7.284383762641e-05,6.310022291271e-05,7
12,0.600000000000,0.055041666667,0.197500000000,0.100000000000,-2.000000000000,0.027520833333,0.098750000000,-0.394441288417,-0.451955508345,0.234227540927,0.321866298482,0.582671434038,-0.104871240350,0.738849178659,0.547714692707,-0.828536365845,1.130968207258,0.337756612321,-0.524148700384,0.765270044906,0.089480529194,-0.146789943592,0.285392399175,-0.030121517810,-0.000302816429,-0.076534721707,7.683768894292e-05,6.656356212138e-05,7
13,0.650000000000,0.065000000000,0.200000000000,0.000000000000,-2.000000000000,0.032500000000,0.100000000000,-0.389462121751,-0.451955508345,0.234227540927,0.320540730468,0.581836077864,-0.104227351422,0.740173680850,0.552275109029,-0.835905415904,1.145299907599,0.336320595646,-0.524149133997,0.761352313281,0.092013608898,-0.146395560886,0.284830410298,-0.026962678394,0.000299531300,-0.079412103563,7.885634104354e-05,6.831052459502e-05,7
14,0.700000000000,0.075000000000,0.200000000000,0.000000000000,0.000000000000,0.037500000000,0.100000000000,-0.384462121751,-0.451955508345,0.234227540927,0.319208124706,0.580994519249,-0.103580283442,0.741500280921,0.556916053597,-0.843175921933,1.159451248288,0.335060344481,-0.524118747254,0.757328834550,0.093431517421,-0.144121977432,0.280651570292,-0.023403843914,0.000916742295,-0.081377435343,7.922277397234e-05,6.862209781877e-05,7
15,0.750000000000,0.085000000000,0.200000000000,0.000000000000,0.000000000000,0.042500000000,0.100000000000,-0.379462121751,-0.451955508345,0.234227540927,0.317874030597,0.580150251676,-0.102932732505,0.742823423656,0.561618260771,-0.850317613648,1.173365064628,0.333980211254,-0.524057459768,0.753214569747,0.094662544825,-0.141566062415,0.275957615572,-0.019822135253,0.001534632365,-0.083213653629,7.923871691253e-05,6.862953642669e-05,7
16,0.800000000000,0.095000000000,0.200000000000,0.000000000000,0.000000000000,0.047500000000,0.100000000000,-0.374462121751,-0.451955508345,0.234227540927,0.316538454360,0.579303279080,-0.102284701633,0.744143102884,0.566382308079,-0.857332528175,1.187047009845,0.333078130956,-0.523965284018,0.749007469187,0.095908389540,-0.139053356312,0.271381657241,-0.016279860234,0.002152082158,-0.085094174857,7.924877884154e-05,6.863230264546e-05,7
17,0.850000000000,0.105000000000,0.200000000000,0.000000000000,0.000000000000,0.052500000000,0.100000000000,-0.369462121751,-0.451955508345,0.234227540927,0.315201402224,0.578453605411,-0.101636193845,0.745459312453,0.571209099725,-0.864222949279,1.200503230352,0.332352225231,-0.523842251552,0.744705152261,0.097172453053,-0.136584137376,0.266924530264,-0.012772692197,0.002768666973,-0.087022902120,7.925835688563e-05,6.863509786906e-05,7
18,0.900000000000,0.115000000000,0.200000000000,0.000000000000,0.000000000000,0.057500000000,0.100000000000,-0.364462121751,-0.451955508345,0.234227540927,0.313862880423,0.577601234631,-0.100987212165,0.746772046226,0.576099553385,-0.870990941912,1.213739462872,0.331800861736,-0.523688417320,0.740305178975,0.098454951101,-0.134154116874,0.262578241190,-0.009295878029,0.003383903097,-0.089000984879,7.926756291336e-05,6.863799326421e-05,7
