sample,time,s,sDot,sDDot,sDDDot,arcLength,tcpSpeed,px,py,pz,qw,qx,qy,qz,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,positionError,orientationError,ikIterations
0,0,0,0,0,2,0,0,-0.421962121750543,-0.451955508344597,0.234227540926711,0.329165961002244,0.587239908196375,-0.108421313097339,0.731466936508569,0.523598775598299,-0.785398163397448,1.0471975511966,0.349065850398866,-0.523598775598299,0.785398163397448,0,0,0,0,0,0,0,0,1
1,0.05,4.16666666666667e-05,0.0025,0.1,2,2.08333333333333e-05,0.00125,-0.42194128841721,-0.451955508344597,0.234227540926711,0.329160452597242,0.587236481143842,-0.108418631413513,0.731472564093964,0.523598775598299,-0.785398163397448,1.0471975511966,0.349065850398866,-0.523598775598299,0.785398163397448,0.000706668476053718,-0.00137833130559151,0.00267522424692856,-0.000434346248196493,-3.0680217636414e-05,-0.000575379584609736,2.08333333333033e-05,1.79942365311167e-05,1
2,0.1,0.000333333333333333,0.01,0.2,2,0.000166666666666667,0.005,-0.421795455083877,-0.451955508344597,0.234227540926711,0.32912189301619,0.587212490445122,-0.108399859381005,0.73151195553378,0.523669442445904,-0.785535996528007,1.04746507362129,0.349022415774046,-0.523601843620062,0.785340625438987,0.00426456540194131,-0.00830588365704599,0.016121003760905,-0.00261025781979896,-0.00018366237191425,-0.00347364610648215,8.3329449371718e-05,7.19781029824701e-05,2
3,0.15,0.001125,0.0225,0.3,2,0.0005625,0.01125,-0.421399621750543,-0.451955508344597,0.234227540926711,0.32901722471609,0.587147361093716,-0.108348904554181,0.731618860529659,0.524025232138493,-0.786228751763153,1.04880965157269,0.348804824616886,-0.52361714183549,0.7850507987868,0.0101771989992094,-0.0197656279297864,0.0383633506725878,-0.00617835294200508,-0.000431360016638349,-0.00829615608199497,5.98813566781628e-05,5.17374840216798e-05,4
4,0.2,0.00266666666666667,0.04,0.4,2,0.00133333333333333,0.02,-0.42062878841721,-0.451955508344597,0.234227540926711,0.328813369384354,0.587020481013581,-0.108249667648465,0.731826982584469,0.524687162345825,-0.787512559320986,1.05130140868855,0.348404580479846,-0.523644979621726,0.784511009830788,0.017186080318552,-0.0332024640061857,0.0644431356618092,-0.0102738915901002,-0.000706627157303075,-0.0140299510435982,5.18973293721319e-05,4.48515545825185e-05,5
5,0.25,0.00520833333333333,0.0625,0.5,2,0.00260416666666667,0.03125,-0.419357955083877,-0.451955508344597,0.234227540926711,0.328477204019913,0.586811158315235,-0.108086034671641,0.732169925649063,0.525743840170348,-0.789548998163771,1.05525396513887,0.347777435457876,-0.523687804551221,0.78364780368244,0.0267931418153711,-0.0513205610163758,0.0996096538174762,-0.0156158097553694,-0.00104644992088732,-0.021924691032229,8.26148047642551e-05,7.14222153928977e-05,5
6,0.3,0.00895833333333334,0.0875,0.5,0,0.00447916666666667,0.04375,-0.417482955083877,-0.451955508344597,0.234227540926711,0.327981041687034,0.586501998793429,-0.107844549530312,0.732675504464156,0.527366476527362,-0.792644615422624,1.0612623740703,0.346842999504309,-0.523749624613815,0.782318540727565,0.0375742589658057,-0.0711235113039787,0.138049310589621,-0.0211316052494004,-0.00136111799384664,-0.0308482266103183,6.1113612617432e-05,5.28589620122763e-05,6
7,0.35,0.0139583333333333,0.1125,0.5,0,0.00697916666666667,0.05625,-0.414982955083877,-0.451955508344597,0.234227540926711,0.327319157442083,0.586089187930468,-0.107522459373275,0.733348862201839,0.529501266066929,-0.796661349294169,1.06905889619783,0.345664274932936,-0.523823916350605,0.780562981021408,0.0482554608587438,-0.0899079849882767,0.17451987140261,-0.025843027725877,-0.00156668452898079,-0.0397930708684091,7.99320618854334e-05,6.91618451203886e-05,6
8,0.4,0.0202083333333333,0.1375,0.5,0,0.0101041666666667,0.06875,-0.411857955083877,-0.451955508344597,0.234227540926711,0.326491265683434,0.585572213688412,-0.10711967046973,0.734189357173569,0.532192022613237,-0.801635413921451,1.07871436121056,0.344258696731721,-0.523906293066713,0.778339233640724,0.0598685781653141,-0.109352723128447,0.212288507300364,-0.030087118490838,-0.00166381317024067,-0.049646531478581,9.99993264240195e-05,8.65596769523106e-05,6
9,0.45,0.0276666666666667,0.16,0.4,-2,0.0138333333333333,0.08,-0.40812878841721,-0.451955508344597,0.234227540926711,0.325502536765673,0.584953895423246,-0.106638753780076,0.735190597723144,0.53548812388346,-0.807596621607014,1.09028774692787,0.342655563083852,-0.523990297667629,0.77559832787355,0.070260428499771,-0.125404966442049,0.243498372544195,-0.0326801352000233,-0.00157481650292612,-0.0586473954851363,5.97237258202275e-05,5.17174805764429e-05,7
10,0.5,0.036125,0.1775,0.3,-2,0.0180625,0.08875,-0.403899621750543,-0.451955508344597,0.234227540926711,0.324380219355416,0.58425083829516,-0.106093022010434,0.736323775198811,0.539218065463214,-0.814175910565656,1.10306419846498,0.340990683211719,-0.524063774717006,0.77247449409221,0.0783893222620768,-0.13629799938089,0.264729207532295,-0.0332281565696529,-0.00128554686499305,-0.0659254242169571,6.68869862939585e-05,5.79316443622102e-05,7
11,0.55,0.0453333333333333,0.19,0.2,-2,0.0226666666666667,0.095,-0.399295455083877,-0.451955508344597,0.234227540926711,0.32315715599991,0.583483225380363,-0.105498497925371,0.737554638763305,0.543327056109668,-0.821226421545103,1.1167606676811,0.339332747426887,-0.524118852354129,0.769005785451855,0.0849662724372168,-0.143604552789846,0.279040087930813,-0.0323407089105626,-0.000849256671049402,-0.0720444918574358,7.28438376264698e-05,6.31002264316297e-05,7
12,0.6,0.0550416666666667,0.1975,0.0999999999999999,-2,0.0275208333333333,0.09875,-0.39444128841721,-0.451955508344597,0.234227540926711,0.321866298481892,0.582671434038487,-0.10487124035032,0.738849178658598,0.547714692706935,-0.828536365844641,1.13096820725806,0.337756612320663,-0.524148700384111,0.765270044906467,0.0894805291942658,-0.146789943592424,0.285392399175075,-0.030121517809597,-0.000302816429456065,-0.0765347217073109,7.68376889429206e-05,6.65635621213819e-05,7
13,0.65,0.065,0.2,0,-2,0.0325,0.1,-0.389462121750543,-0.451955508344597,0.234227540926711,0.320540730468129,0.581836077863577,-0.104227351422165,0.740173680849845,0.552275109029094,-0.835905415904345,1.1452999075986,0.336320595645927,-0.524149133997074,0.761352313281124,0.0920136088982093,-0.146395560885735,0.284830410298016,-0.0269626783939792,0.000299531300000933,-0.0794121035630668,7.88563410434801e-05,6.83105278455366e-05,7
14,0.7,0.075,0.2,0,0,0.0375,0.1,-0.384462121750543,-0.451955508344597,0.234227540926711,0.319208124706138,0.580994519249102,-0.103580283441776,0.741500280921199,0.556916053596756,-0.843175921933214,1.15945124828786,0.335060344481265,-0.524118747254111,0.75732883455016,0.0934315174205214,-0.144121977431718,0.280651570292363,-0.023403843914338,0.00091674229461769,-0.0813774353426344,7.92227739722251e-05,6.86221042902875e-05,7
15,0.75,0.085,0.2,0,0,0.0425,0.1,-0.379462121750543,-0.451955508344597,0.234227540926711,0.317874030596768,0.580150251675789,-0.102932732505498,0.742823423655741,0.561618260771147,-0.850317613647517,1.17336506462784,0.333980211254493,-0.524057459767612,0.75321456974686,0.0946625448247585,-0.141566062414773,0.275957615572149,-0.0198221352531047,0.0015346323654386,-0.0832136536287542,7.92387169125308e-05,6.86295331912851e-05,7
16,0.8,0.095,0.2,0,0,0.0475,0.1,-0.374462121750543,-0.451955508344597,0.234227540926711,0.316538454360397,0.57930327908014,-0.102284701632619,0.744143102884153,0.566382308079232,-0.857332528174692,1.18704700984508,0.333078130955954,-0.523965284017567,0.749007469187285,0.095908389540058,-0.139053356312482,0.271381657241185,-0.0162798602335129,0.0021520821577059,-0.0850941748565714,7.92487788413721e-05,6.86323026454573e-05,7
17,0.85,0.105,0.2,0,0,0.0525,0.1,-0.369462121750543,-0.451955508344597,0.234227540926711,0.315201402224314,0.57845360541127,-0.101636193844661,0.745459312453269,0.571209099725152,-0.864222949278765,1.20050323035196,0.332352225231142,-0.523842251551842,0.744705152261203,0.0971724530528084,-0.136584137376038,0.266924530264487,-0.0127726921972821,0.00276866697270006,-0.0870229021196145,7.92583568856291e-05,6.86351011042051e-05,7
18,0.9,0.115,0.2,0,0,0.0575,0.1,-0.364462121750543,-0.451955508344597,0.234227540926711,0.31386288042269,0.577601234630888,-0.100987212165373,0.746772046226097,0.576099553384513,-0.870990941912295,1.21373946287152,0.331800861736226,-0.523688417320297,0.740305178975323,0.0984549511008759,-0.134154116873785,0.262578241189524,-0.00929587802873666,0.00338390309723602,-0.0890009848785245,7.92675629133556e-05,6.86379964992247e-05,7
19,0.95,0.125,0.2,0,0,0.0625,0.1,-0.359462121750543,-0.451955508344597,0.234227540926711,0.31252289519655,0.576746170713277,-0.100337759620713,0.748081298081856,0.58105459483524,-0.877638360966144,1.22676105447091,0.331422637428268,-0.523503861242118,0.73580505377335,0.0997560410477694,-0.131759236480091,0.258335302817268,-0.00584499003643324,0.00399727589266763,-0.0910295390628757,7.92764238012077e-05,6.86409888182493e-05,7
20,1,0.135,0.2,0,0,0.0675,0.1,-0.354462121750543,-0.451955508344597,0.234227540926711,0.311181452793739,0.575888417645279,-0.0996878392388322,0.749387061915995,0.58607515748929,-0.884166865560305,1.23957299315325,0.331216362732583,-0.52328868973103,0.731202225069036,0.101075871325715,-0.129395710559096,0.254188811890932,-0.00241590229718869,0.00460823957590617,-0.0931096897279393,7.92849627338836e-05,6.86441071611078e-05,7
21,1.05,0.145,0.2,0,0,0.0725,0.1,-0.349462121750543,-0.451955508344597,0.234227540926711,0.309838559468899,0.575027979426274,-0.099037454050066,0.75068933164023,0.591162181967811,-0.890577932022053,1.25217993566,0.33118104719855,-0.523043037284528,0.726494084800557,0.102414581508687,-0.127060000646865,0.250132394890856,0.000995237207657151,0.00521621589894216,-0.0952425698066771,7.92932007268537e-05,6.86473353377786e-05,7
22,1.1,0.155,0.2,0,0,0.0775,0.1,-0.344462121750543,-0.451955508344597,0.234227540926711,0.308494221483437,0.574164860068162,-0.0983866070869155,0.751988101182566,0.596316615640159,-0.896872865624991,1.26458623264234,0.331315886453348,-0.522767068141136,0.721677968088368,0.103772301558751,-0.124748792213256,0.246160158543129,0.004392030825211,0.00582059277537294,-0.0974293178975826,7.93011568708291e-05,6.86506862704168e-05,7
23,1.15,0.165,0.2,0,0,0.0825,0.1,-0.339462121750543,-0.451955508344597,0.234227540926711,0.307148445105494,0.573299063595343,-0.0977353013840352,0.75328336448733,0.601539412123687,-0.903052811243379,1.27679595151432,0.331620250281071,-0.52246097800699,0.716751153010798,0.105149151022871,-0.122458974327033,0.242266646190694,0.00777785222685955,0.00642072288327133,-0.0996710757672003,7.93088485292544e-05,6.86541534725506e-05,7
24,1.2,0.175,0.2,0,0,0.0875,0.1,-0.334462121750543,-0.451955508344597,0.234227540926711,0.30580123660992,0.572430594044701,-0.0970835399782185,0.754575115515197,0.606831530742446,-0.909118763057694,1.28881289726141,0.332093671676034,-0.522124995852809,0.711710860511648,0.106545238191879,-0.12018762187031,0.2384467992727,0.0111558645596272,0.00701592224879867,-0.101968985555646,7.93162915094694e-05,6.86577530969626e-05,7
25,1.25,0.185,0.2,0,0,0.0925,0.1,-0.329462121750543,-0.451955508344597,0.234227540926711,0.30445260227824,0.571559455465582,-0.0964313259083836,0.755863348243217,0.612193935942874,-0.91507157343041,1.30064063144159,0.332735836737033,-0.52175938578211,0.706554254455234,0.107960659221156,-0.117931979990133,0.234695923245792,0.01452903608341,0.00760546881511949,-0.104324186660886,7.93235002139447e-05,6.8661485122826e-05,7
26,1.3,0.195,0.2,0,0,0.0975,0.1,-0.324462121750543,-0.451955508344597,0.234227540926711,0.30310254839863,0.570685651919777,-0.0957786622155594,0.757148056664846,0.617627596664561,-0.920911961056708,1.31228248958598,0.333546575284375,-0.521364448971297,0.701278441845559,0.109395497212483,-0.115689450522727,0.231009657379215,0.0179001535723228,0.00818860100190832,-0.106737812276116,7.93304877719387e-05,6.86653527622734e-05,7
27,1.35,0.205,0.2,0,0,0.1025,0.1,-0.319462121750543,-0.451955508344597,0.234227540926711,0.301751081265882,0.569809187481504,-0.095125551942871,0.758429234789973,0.623133485664123,-0.926640518482683,1.32374159717951,0.334525852094266,-0.52094052568192,0.695880473227622,0.110849821256615,-0.113457580165774,0.227383947937694,0.0212718337147261,0.00876451626148355,-0.109210985553081,7.93372661554654e-05,6.866936892652e-05,7
28,1.4,0.215,0.2,0,0,0.1075,0.1,-0.314462121750543,-0.451955508344597,0.234227540926711,0.300398207181379,0.568930066237387,-0.0944719981355259,0.759706876644944,0.628712578790223,-0.932257719073285,1.33502088437975,0.335673758655848,-0.520487997345148,0.690357343290251,0.112323685436313,-0.111234050207526,0.223815024334677,0.0246465327101186,0.00933236963852723,-0.111744815362983,7.93438462818316e-05,6.86735335895078e-05,7
29,1.45,0.225,0.2,0,0,0.1125,0.1,-0.309462121750543,-0.451955508344597,0.234227540926711,0.299043932453065,0.568048292286438,-0.0938180038407997,0.760980976272598,0.634365854207754,-0.937763923503435,1.34612309961298,0.336990505365277,-0.520007288718067,0.684705991691324,0.113817127789615,-0.109016667649795,0.220299377896403,0.0280265542301517,0.00989127234124033,-0.114340391625392,7.9350238103725e-05,6.86778467242215e-05,7
30,1.5,0.235,0.2,0,0,0.1175,0.1,-0.304462121750543,-0.451955508344597,0.234227540926711,0.297688263395412,0.567163869740035,-0.0931635721080216,0.762251527732287,0.640094291569184,-0.943159385838265,1.35705082216939,0.338476414078863,-0.519498870111024,0.678923304127712,0.115330169233396,-0.106803357585284,0.216833742925087,0.031414055885326,0.0104402903328793,-0.116998780174351,7.93564506890985e-05,6.86823212343801e-05,7
31,1.55,0.245,0.2,0,0,0.1225,0.1,-0.299462121750543,-0.451955508344597,0.234227540926711,0.296331206329395,0.56627680272191,-0.0925087059885606,0.763518525099908,0.645898871131094,-0.948444259261964,1.36780647390549,0.34013191095381,-0.518963259684779,0.673006113673889,0.11686281244743,-0.104592156709792,0.21341507979064,0.034811054317081,0.0109784429536508,-0.11972101713002,7.93624922920782e-05,6.86869603211498e-05,7
32,1.6,0.255,0.2,0,0,0.1275,0.1,-0.294462121750543,-0.451955508344597,0.234227540926711,0.294972767582461,0.565387095368122,-0.0918534085358109,0.764781962467928,0.651780572813927,-0.953618601509244,1.37839233014846,0.341957519510571,-0.518401025815659,0.66695120241471,0.118415040719283,-0.10238120786663,0.210040559814475,0.0382194290165038,0.0115047015841829,-0.122508102743172,7.936837041387e-05,6.86917607187089e-05,7
